folio;upm;s11a_01;s11a_02;s11a_02_1;s11a_03a;s11a_03b;s11a_04a;s11a_04b;s11a_05;s11a_05e;s11a_06;s11a_07;s11a_07e;s11a_08;s11a_08e;s11a_09;s11a_10a;s11a_10b;s11a_11a;s11a_11b;s11a_12;s11a_13a;s11a_13b;s11a_13c;s11a_13d;s11a_13e;s11a_13f;s11a_13g;s11a_13h;s11a_13i;s11a_13j;s11a_13k;s11a_13ke;area;depto;estrato;factor
114302;"611-02980954382-A";1;1;1;60101;"Junatas Sur";2;2;2;"";3;7;"CAMION";7;"";2;;;130;1;2;0;30;100;0;0;0;0;0;0;0;0;"";1;6;"11";122
114303;"611-02980954382-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"11";122
114320;"261-06150230142-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114324;"261-06110421541-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";175
114332;"262-06033945107-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";220
114334;"262-06033945107-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";220
114336;"262-06033945107-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";220
114342;"261-06005573856-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114344;"261-06005573856-A";1;1;1;21401;"COROICO";2;2;1;"";2;1;"";7;"";2;;;500;1;2;0;350;0;0;150;0;0;0;0;0;0;"";1;2;"11";146
114345;"261-06005573856-A";1;1;1;30903;"TIQUIPAYA";2;3;3;"";1;4;"";7;"";2;;;300;1;1;0;100;120;0;80;0;0;0;0;0;0;"";1;2;"11";146
114359;"262-06102009911-A";1;1;1;20402;"VILA CALA";1;12;2;"";1;4;"";7;"";2;;;80;1;1;0;50;30;0;0;0;0;0;0;0;0;"";1;2;"12";202
114365;"262-06102009911-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114415;"262-06102009911-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
